FECHA,TICKET,SWAP_SPREAD
01/03/2023,RR,NA
01/03/2023,TIIE,21.75
01/03/2023,3X1,-7.9496765
01/03/2023,6X1,-20.850566
01/03/2023,9X1,-23.539911
01/03/2023,13X1,-34.5
01/03/2023,26X1,-35.100331
01/03/2023,39X1,-54.177378
01/03/2023,52X1,-43.311895
01/03/2023,65X1,-28.33133
01/03/2023,91X1,-23.275831
01/03/2023,130X1,-15.123444
01/03/2023,195X1,3.13574029
01/03/2023,260X1,0.80166308
01/03/2023,390X1,4.50648828
28/02/2023,RR,NA
28/02/2023,TIIE,22.4
28/02/2023,3X1,-7.4496765
28/02/2023,6X1,-25.889714
28/02/2023,9X1,-24.616106
28/02/2023,13X1,-34.499999
28/02/2023,26X1,-35.609856
28/02/2023,39X1,-57.833002
28/02/2023,52X1,-45.45934
28/02/2023,65X1,-31.942341
28/02/2023,91X1,-21.171187
28/02/2023,130X1,-17.286478
28/02/2023,195X1,-3.1516342
28/02/2023,260X1,-6.3484427
28/02/2023,390X1,-1.7088735
27/02/2023,RR,NA
27/02/2023,TIIE,-3.45
27/02/2023,3X1,-12.112526
27/02/2023,6X1,-27.736108
27/02/2023,9X1,-26.616106
27/02/2023,13X1,-36
27/02/2023,26X1,-37.349272
27/02/2023,39X1,-59.267581
27/02/2023,52X1,-45.225209
27/02/2023,65X1,-32.437354
27/02/2023,91X1,-19.637711
27/02/2023,130X1,-17.346994
27/02/2023,195X1,-7.2934837
27/02/2023,260X1,-13.2804
27/02/2023,390X1,-10.380785
24/02/2023,RR,NA
24/02/2023,TIIE,-10.5
24/02/2023,3X1,-12.500678
24/02/2023,6X1,-25.236108
24/02/2023,9X1,-24.616106
24/02/2023,13X1,-35
24/02/2023,26X1,-38.603353
24/02/2023,39X1,-59.278552
24/02/2023,52X1,-43.853758
24/02/2023,65X1,-30.011803
24/02/2023,91X1,-16.322203
24/02/2023,130X1,-13.434713
24/02/2023,195X1,-4.7703535
24/02/2023,260X1,-9.2667511
24/02/2023,390X1,-9.0187127
23/02/2023,RR,NA
23/02/2023,TIIE,25
23/02/2023,3X1,-2.8933176
